票站編號,票站名稱,地址,推算選區,立法會選區
A0101,專業聯合中心,香港中環皇后大道中99號中環中心地下1室,A01,港島區
A0102,香港公園體育館,香港中環紅棉路29號,A01,港島區
A0201,高主教書院,香港羅便臣道2號,A02,港島區
A0301,香港真光幼稚園(堅道),香港堅道75號地下至2樓,A03,港島區
A0302,食物環境衞生署食物安全中心(醫院道辦事處),香港醫院道4號,A03,港島區
A0401,德瑞國際學校山頂校舍,香港山頂僑福道22號德瑞國際學校山頂校舍中座,A04,港島區
A0501,西營盤社區綜合大樓社區會堂,香港西營盤高街2號西營盤社區綜合大樓3樓,A05,港島區
A0601,香港基督教女青年會西環綜合社會服務處,香港西環域多利道9-15號百年大樓第1期A座2樓,A06,港島區
A0701,士美非路體育館,香港堅尼地城士美菲路12號K士美非路市政大廈4樓,A07,港島區
A0801,堅尼地城社區綜合大樓(綜合用途室),香港堅尼地城石山街12號2樓,A08,港島區
A0901,維多利亞(寶翠園)幼稚園,香港卑路乍街8號西寶城3樓(幼稚園),A09,港島區
A1001,石塘咀體育館,香港皇后大道西470號石塘咀市政大廈5樓,A10,港島區
A1101,中西區及離島區社會保障辦事處,香港德輔道西246號東慈商業中心3樓,A11,港島區
A1102,中山紀念公園體育館,香港西營盤東邊街北18號,A11,港島區
A1201,上環郵政局,香港上環德輔道中322-324號西區電話機樓1樓,A12,港島區
A1301,新會商會學校,香港上環居賢坊1號,A13,港島區
A1302,聖公會聖馬太小學,香港上環新街12-20號,A13,港島區
A1401,基督教香港崇真會救恩堂及救恩學校,香港西營盤第三街96號地下,A14,港島區
A1501,李陞小學,香港西營盤高街119號,A15,港島區
B0101,軒尼詩道官立小學,香港灣仔譚臣道169號,B01,港島區
B0201,鄧肇堅維多利亞官立中學,香港灣仔愛群道5號,B02,港島區
B0301,前灣仔學校,香港灣仔愛群道30號,B03,港島區
B0401,皇仁書院,香港銅鑼灣高士威道120號,B04,港島區
B0501,港島兒童蒙特梭利學校,香港北角天后廟道16號地下B舖,B05,港島區
B0502,勵德邨邨榮樓有蓋停車場,香港大坑勵德邨道34號勵德邨,B05,港島區
B0601,灣仔區文娛康樂體育會,香港銅鑼灣大坑道摩頓台 (香港中央圖書館側),B06,港島區
B0701,港灣婦女會,香港銅鑼灣摩頓台,B07,港島區
B0801,中華基督教會公理高中書院,香港銅鑼灣大坑徑17號,B08,港島區
B0901,禮頓山社區會堂,香港跑馬地黃泥涌道133號,B09,港島區
B1001,黃泥涌體育館,香港跑馬地毓秀街2號黃泥涌市政大廈6樓,B10,港島區
B1101,寶血小學,香港跑馬地成和道72號,B11,港島區
B1102,香港青少年服務處成和青少年中心,香港跑馬地桂成里20號誠和閣地下,B11,港島區
B1201,灣仔郵政局,香港灣仔皇后大道東197-213號胡忠大廈2樓,B12,港島區
B1301,循道衛理中心,香港灣仔軒尼詩道22號2樓,B13,港島區
C0101,東區少年警訊會所,香港太古城太裕路5號興安閣平台512-513號,C01,港島區
C0201,聖安娜中英文幼稚園,香港鰂魚涌太古城太榮路2號南海閣平台,C02,港島區
C0202,太古城郵政局,香港太古城太豐路1-3號金星閣地下G1020-1022號,C02,港島區
C0301,西灣河健康中心,香港西灣河太康街28號地下,C03,港島區
C0401,中華基督教會基灣小學(愛蝶灣),香港筲箕灣愛信道39號,C04,港島區
C0501,筲箕灣郵政局,香港筲箕灣寶文街1號峻峰花園地下,C05,港島區
C0601,愛秩序灣官立小學,香港筲箕灣愛禮街1號,C06,港島區
C0602,筲箕灣官立小學,香港筲箕灣筲箕灣東大街19號,C06,港島區
C0701,嶺南中學,香港杏花邨盛康里6號,C07,港島區
C0801,聖公會李福慶中學,香港柴灣翠灣街翠灣邨,C08,港島區
C0901,福建中學(小西灣),香港柴灣小西灣富怡道2號,C09,港島區
C1001,小西灣社區會堂,香港柴灣小西灣道15號小西灣綜合大樓地下,C10,港島區
C1101,嶺南衡怡紀念中學,香港柴灣小西灣道31號,C11,港島區
C1201,救世軍中原慈善基金學校,香港柴灣華廈街9號,C12,港島區
C1301,文理書院(香港),香港柴灣萃文道4號,C13,港島區
C1401,鰂魚涌體育館,香港鰂魚涌街38號鰂魚涌市政大廈7樓,C14,港島區
C1501,閩僑中學,香港北角雲景道81號,C15,港島區
C1601,金文泰中學,香港北角炮台山道30號,C16,港島區
C1701,銅鑼灣社區中心,香港銅鑼灣福蔭道7號,C17,港島區
C1801,渣華道體育館,香港北角渣華道99號渣華道市政大廈3樓,C18,港島區
C1802,顯理中學,香港北角城市花園道2號,C18,港島區
C1901,北角衞理小學,香港北角長康街19號,C19,港島區
C2001,香港遊樂場協會賽馬會北角港運城青少年綜合服務中心,香港北角丹拿道53號港運城2樓,C20,港島區
C2101,啟基學校(港島),香港北角馬寶道82號,C21,港島區
C2201,丹拿山循道學校,香港北角百福道4號,C22,港島區
C2301,北角官立小學,香港鰂魚涌英皇道888號,C23,港島區
C2401,鰂魚涌社區會堂,香港鰂魚涌基利路1號鰂魚涌社區綜合大樓地下,C24,港島區
C2501,佛教中華康山學校,香港鰂魚涌康愉街2號,C25,港島區
C2601,太古小學,香港鰂魚涌英皇道1100號,C26,港島區
C2701,青松興東幼稚園,香港筲箕灣興東邨興祖樓地下,C27,港島區
C2702,伊斯蘭徐錦享紀念幼稚園,香港筲箕灣東熹苑景熹閣地下,C27,港島區
C2801,西灣河體育館,香港西灣河筲箕灣道111號2樓,C28,港島區
C2901,勵志會梁李秀娛紀念小學,香港筲箕灣耀興道25號,C29,港島區
C2902,筲箕灣街坊福利事務促進會有限公司,香港筲箕灣南安街103號,C29,港島區
C3001,循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊(耀東服務處),香港筲箕灣耀東邨耀華樓地下B翼、C翼及1樓B翼,C30,港島區
C3101,粵南信義會腓力堂興民幼兒學園,香港柴灣興民邨社區中心第3層,C31,港島區
C3102,路德會聖雅各幼稚園,香港柴灣興華(一)邨卓華樓地下,C31,港島區
C3201,天主教明德學校,香港柴灣祥民道11號,C32,港島區
C3301,柴灣母嬰健康院,香港柴灣柴灣道233號新翠花園第6座政府大樓2樓,C33,港島區
C3401,漁灣社區會堂,香港柴灣柴灣道365號漁灣邨,C34,港島區
C3501,香港中華基督教青年會 - 柴灣會所,香港柴灣小西灣邨瑞樂樓地下1-10號,C35,港島區
D0101,香港仔體育館,香港香港仔香港仔大道203號香港仔市政大廈6樓,D01,港島區
D0201,鴨脷洲社區會堂,香港鴨脷洲邨,D02,港島區
D0301,鴨脷洲體育館,香港鴨脷洲洪聖街8號鴨脷洲市政大廈3樓,D03,港島區
D0401,聖伯多祿天主教小學,香港鴨脷洲利東邨第2期,D04,港島區
D0501,利東社區會堂,香港鴨脷洲利東邨,D05,港島區
D0601,香港南區官立小學,香港鴨脷洲鴨脷洲橋道325號,D06,港島區
D0701,海怡社區中心,香港鴨脷洲海怡半島東翼商場1樓,D07,港島區
D0801,華貴社區會堂,香港奇力灣華貴邨,D08,港島區
D0901,明愛莊月明中學,香港薄扶林華富邨華富道53號,D09,港島區
D1001,東華三院鶴山學校,香港華富邨華林徑5號,D10,港島區
D1101,沙宣道會堂,香港薄扶林沙宣道6號,D11,港島區
D1102,上碧瑤灣遊樂場,香港域多利道555號碧瑤灣(上),D11,港島區
D1103,數碼港郵政局,香港數碼港道100號數碼港零售服務中心1樓5-8號舖,D11,港島區
D1201,展亮技能發展中心 (薄扶林),香港薄扶林道147號,D12,港島區
D1202,置富南區會堂,香港薄扶林置富道置富南區廣場,D12,港島區
D1301,明愛賽馬會香港仔服務中心,香港香港仔田灣街20號,D13,港島區
D1302,聖公會田灣始南小學,香港香港仔田灣新街5號,D13,港島區
D1401,香港仔聖伯多祿天主教小學,香港香港仔石排灣邨第2期,D14,港島區
D1501,香港仔網球及壁球中心,香港香港仔海傍道1號,D15,港島區
D1502,南區長者地區中心,香港黃竹坑深灣道3號南濤閣地下1-3室,D15,港島區
D1601,黃竹坑體育館,香港香港仔黃竹坑道168號,D16,港島區
D1602,香港國際學校,香港淺水灣南灣坊6號1樓體育館,D16,港島區
D1701,赤柱社區會堂,香港赤柱市場道6號赤柱市政大廈地面下層,D17,港島區
D1702,石澳健康院,香港石澳石澳村140號,D17,港島區
E0101,仁愛堂陳鄭玉而幼稚園,九龍尖沙咀柯士甸道西1號1樓104室,E01,九龍西
E0201,九龍公園體育館,九龍尖沙咀柯士甸道22號,E02,九龍西
E0401,梁顯利油麻地社區中心,九龍油麻地眾坊街60號地下,E04,九龍西
E0501,油蔴地天主教小學(海泓道),九龍油麻地海泓道10號,E05,九龍西
E0601,旺角社區會堂,九龍旺角上海街557號旺角綜合大樓2樓,E06,九龍西
E0701,明我幼稚園(奧運校),九龍旺角西海富苑海韻閣地下01-09室,E07,九龍西
E0801,香港保護兒童會中銀幼兒學校,九龍大角咀奧海城海輝道11號政府服務中心地下,E08,九龍西
E0901,路德會沙崙學校,九龍大角咀櫻桃街18號,E09,九龍西
E1001,大角嘴天主教小學,九龍大角嘴道148號,E10,九龍西
E1101,中華基督教會基全小學,九龍大角咀道150號,E11,九龍西
E1201,鮮魚行學校,九龍大角咀詩歌舞街33號,E12,九龍西
E1301,聖公會基榮小學,九龍荔枝角道23號,E13,九龍西
E1401,界限街一號體育館,九龍旺角洗衣街200號,E14,九龍西
E1501,優才(楊殷有娣)書院,九龍旺角洗衣街31號,E15,九龍西
E1601,東華三院羅裕積小學,九龍油麻地碧街51號,E16,九龍西
E1701,油蔴地街坊會學校,九龍油麻地眾坊街80號,E17,九龍西
E1702,香港理工大學紅磡灣校園,九龍紅磡紅樂道8號,E17,九龍西
E1901,佐敦道官立小學,九龍油麻地南京街1號B,E19,九龍西
F0101,保安道體育館,九龍深水埗保安道325-329號保安道市政大廈2樓,F01,九龍西
F0201,福榮街官立小學,九龍深水埗福榮街231號,F02,九龍西
F0301,英華女學校,九龍深水埗青山道101號,F03,九龍西
F0401,石硤尾社區會堂,九龍深水埗南昌街石硤尾邨42座,F04,九龍西
F0501,基督教香港崇真會安康幼兒學校,九龍深水埗大埔道70號太子中心2樓C,F05,九龍西
F0601,深水埔街坊福利事務促進會,九龍深水埗汝州街88號地下,F06,九龍西
F0701,北河街體育館,九龍深水埗基隆街333號北河街巿政大廈6樓,F07,九龍西
F0801,南昌社區中心,九龍深水埗昌新里1號,F08,九龍西
F0901,英華書院,九龍深水埗英華街1號,F09,九龍西
F1001,麗閣社區會堂,九龍長沙灣麗閣邨,F10,九龍西
F1101,旅港開平商會學校,九龍荔枝角道700號,F11,九龍西
F1201,聖公會聖馬利亞堂莫慶堯中學,九龍深水埗海麗街1號,F12,九龍西
F1301,美孚新邨孚佑堂,九龍美孚新邨第2期百老匯街38號,F13,九龍西
F1401,博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,九龍美孚新邨天橋底 (荔灣街市側),F14,九龍西
F1501,荔枝角公園體育館,九龍荔枝角荔灣道1號,F15,九龍西
F1601,荔枝角社區會堂,九龍深水埗荔枝角道863號地下,F16,九龍西
F1701,五邑工商總會學校,九龍深水埗永康街70號,F17,九龍西
F1801,長沙灣體育館,九龍長沙灣道及興華街交界,F18,九龍西
F1901,長沙灣社區中心,九龍長沙灣發祥街55號,F19,九龍西
F2001,白田社區會堂,九龍石硤尾白田街白田邨,F20,九龍西
F2101,聖母玫瑰書院,九龍又一村玫瑰街22號,F21,九龍西
F2201,大坑東社區中心,九龍大坑東棠蔭街17號,F22,九龍西
F2301,白田天主教小學,九龍深水埗白田邨,F23,九龍西
F2302,香港城市大學澤安中心,九龍深水埗澤安邨,F23,九龍西
G0101,馬頭涌官立小學,九龍土瓜灣福祥街1號,G01,九龍西
G0201,土瓜灣體育館,九龍土瓜灣下鄉道66號,G02,九龍西
G0301,保良局林文燦英文小學,九龍土瓜灣上鄉道24號,G03,九龍西
G0401,獻主會聖馬善樂小學,九龍土瓜灣天光道24號,G04,九龍西
G0501,聖文嘉幼稚園,九龍何文田南常樂街3號冠熹苑地下,G05,九龍西
G0502,循道衛理楊震社會服務處何文田青少年綜合發展中心,九龍何文田何文田邨恬文樓地下,G05,九龍西
G0601,余振強紀念中學,九龍何文田窩打老道山文福道27號,G06,九龍西
G0602,何文田官立中學,九龍何文田巴富街8號,G06,九龍西
G0701,明愛九龍社區中心,九龍太子道西256號A,G07,九龍西
G0702,九龍總商會,九龍何文田自由道2號龍總大廈2樓,G07,九龍西
G0801,賽馬會官立中學,九龍九龍塘牛津道2號B,G08,九龍西
G0901,九龍塘官立小學,九龍九龍塘添福道6號,G09,九龍西
G0902,九龍方方樂趣幼稚兒園,九龍九龍塘對衡道20號,G09,九龍西
G1001,九龍城體育館,九龍九龍城衙前圍道100號九龍城市政大廈3樓,G10,九龍西
G1101,聖三一堂小學,九龍九龍城富寧街57號,G11,九龍西
G1201,保良局溫林美賢耆暉中心,九龍啓德沐虹街12號晴朗商場2樓A206,G12,九龍西
G1301,佛教陳策文伉儷幼稚園,九龍啓德承啟道28號德朗邨,G13,九龍西
G1501,基督教香港信義會紅磡信義學校,九龍土瓜灣炮仗街39號,G15,九龍西
G1601,中華基督教會基道中學,九龍土瓜灣崇安街28號,G16,九龍西
G1701,博愛醫院任永賢夫人幼稚園幼兒中心,九龍紅磡海逸豪園23座地下,G17,九龍西
G1702,紅磡社區會堂,九龍紅磡庇利街42號九龍城政府合署高層地下,G17,九龍西
G1801,葛量洪校友會黃埔學校,九龍紅磡黃埔花園德安街30號,G18,九龍西
G1901,馬頭涌官立小學(紅磡灣),九龍紅磡灣愛景街3號,G19,九龍西
G1902,香港青少年服務處賽馬會方樹泉綜合青少年服務中心,九龍紅磡黃埔花園第二期十八座1樓,G19,九龍西
G2001,聖公會聖匠中學,九龍紅磡大環道10號,G20,九龍西
G2101,紅磡市政大廈體育館,九龍紅磡馬頭圍道11號紅磡市政大廈3樓,G21,九龍西
G2201,愛培學校,九龍紅磡差館里16號,G22,九龍西
G2301,何文田體育館,九龍何文田忠義街1號,G23,九龍西
G2401,路德會包美達社區中心,九龍何文田忠孝街89號1樓,G24,九龍西
H0101,黃大仙社區中心,九龍黃大仙正德街104號,H01,九龍東
H0201,聖公會基德小學,九龍黃大仙大成街,H02,九龍東
H0301,龍翔官立中學,九龍黃大仙馬仔坑道1號,H03,九龍東
H0401,嗇色園西醫診所,九龍黃大仙鳳德道38號嗇色園社會服務大樓地下C,H04,九龍東
H0501,鳳德社區中心,九龍鑽石山鳳德道111號鳳德邨,H05,九龍東
H0601,香港小童群益會賽馬會慈雲山青少年綜合服務中心,九龍鑽石山龍蟠苑商場2樓203號,H06,九龍東
H0602,保良局張麥珍耆樂中心,九龍鑽石山龍蟠街1號悅庭軒地下,H06,九龍東
H0701,可立中學(嗇色園主辦),九龍新蒲崗爵祿街15號,H07,九龍東
H0702,嘉諾撒小學 (新蒲崗),九龍新蒲崗彩頤里9號,H07,九龍東
H0801,東頭社區中心,九龍黃大仙樂善道26號,H08,九龍東
H0901,華德學校,九龍黃大仙聯合道150號,H09,九龍東
H1001,摩士公園體育館,九龍黃大仙鳳舞街40號,H10,九龍東
H1101,香港青年協會賽馬會橫頭磡青年空間,九龍橫頭磡邨宏興樓地下,H11,九龍東
H1102,香港傷殘青年協會賽馬會活動中心,九龍橫頭磡邨宏基樓地下1-13號,H11,九龍東
H1201,天主教博智小學,九龍黃大仙竹園道53號天馬苑,H12,九龍東
H1202,潔心林炳炎中學,九龍橫頭磡富美街9號,H12,九龍東
H1301,嗇色園主辦可德幼稚園,九龍黃大仙竹園北邨松園樓地下,H13,九龍東
H1302,翠竹商場5樓,九龍黃大仙翠竹街8號翠竹花園翠竹商場5樓,H13,九龍東
H1401,竹園社區中心,九龍黃大仙竹園道11號竹園南邨,H14,九龍東
H1402,浸信會天虹小學,九龍黃大仙竹園南邨,H14,九龍東
H1501,竹園體育館,九龍黃大仙竹園道10號竹園北邨,H15,九龍東
H1601,慈雲山(南區)社區中心,九龍黃大仙慈雲山雲華街45號,H16,九龍東
H1701,肖霞幼稚園,九龍慈雲山慈雲山道120號慈愛苑3期幼稚園座,H17,九龍東
H1801,慈雲山聖文德天主教小學,九龍慈雲山慈正邨第2期寧華街,H18,九龍東
H1901,德愛中學,九龍慈雲山慈雲山道8號,H19,九龍東
H2001,香港海事青年團,九龍鑽石山豐盛街11號,H20,九龍東
H2002,香港遊樂場協會賽馬會瓊富青少年綜合服務中心,九龍黃大仙富山邨富信樓地庫一層7-12號,H20,九龍東
H2101,保良局陳麗玲(百周年)學校,九龍清水灣道55號彩雲邨,H21,九龍東
H2201,香港幼稚園協會幼兒學校,九龍彩雲邨紫霄樓地下,H22,九龍東
H2301,彩雲社區中心,九龍牛池灣彩雲(一)邨彩鳳徑38號,H23,九龍東
H2401,佛教孔仙洲紀念中學,九龍斧山平定道10號,H24,九龍東
H2402,中華基督教會基華小學,九龍黃大仙彩虹邨黃菊路3號,H24,九龍東
H2501,聖公會聖本德中學,九龍彩虹邨藍鐘路11號,H25,九龍東
J0101,觀塘官立小學,九龍觀塘牛頭角道240號,J01,九龍東
J0102,觀塘社區中心,九龍觀塘翠屏道17號,J01,九龍東
J0201,德福花園社區會堂,九龍九龍灣偉業街33號德福花園I座平台,J02,九龍東
J0301,啟業社區會堂,九龍九龍灣啟業邨,J03,九龍東
J0401,仁濟醫院羅陳楚思中學,九龍九龍灣啟禮道10號,J04,九龍東
J0501,坪石天主教小學,九龍清水灣道10號坪石邨,J05,九龍東
J0601,佐敦谷聖若瑟天主教小學,九龍彩霞道80號,J06,九龍東
J0701,香港基督教服務處樂暉長者地區中心,九龍觀塘彩福邨彩樂樓地下,J07,九龍東
J0702,天主教彩霞邨潔心幼稚園,九龍牛頭角彩霞邨停車場平台4號,J07,九龍東
J0801,寧波第二中學,九龍觀塘順天邨順安道9號,J08,九龍東
J0901,順利社區中心,九龍順利邨順緻街2號,J09,九龍東
J0902,中華基督教會基順學校,九龍觀塘順利邨,J09,九龍東
J1001,迦密梁省德學校,九龍觀塘順安邨第2號校舍,J10,九龍東
J1101,秀茂坪天主教小學,九龍觀塘秀茂坪寶達邨,J11,九龍東
J1201,基督教聖約教會堅樂小學,九龍觀塘秀茂坪秀明道77號,J12,九龍東
J1301,路德會陳蒙恩幼稚園,九龍觀塘秀茂坪曉麗苑曉安閣地下,J13,九龍東
J1302,宣道會秀茂坪陳李詠貞幼稚園,九龍觀塘秀茂坪曉麗苑曉天閣地下,J13,九龍東
J1401,觀塘官立小學(秀明道),九龍觀塘秀茂坪秀明道130號,J14,九龍東
J1402,中華傳道會基石堂,九龍秀茂坪寶達邨B停車場地下1號,J14,九龍東
J1501,秀明小學,九龍觀塘秀茂坪秀豐街5號,J15,九龍東
J1601,聖愛德華天主教小學,九龍藍田慶田街8號,J16,九龍東
J1701,藍田聖保祿中學,九龍藍田安田街10號,J17,九龍東
J1702,飛雁幼稚園,九龍藍田康逸苑停車場頂層,J17,九龍東
J1801,藍田(東區)社區會堂,九龍藍田碧雲道223號藍田社區綜合大樓2樓,J18,九龍東
J1802,藍田(南)體育館,九龍藍田碧雲道170號,J18,九龍東
J1901,聖公會李兆強小學,九龍藍田安田街平田邨第1校舍,J19,九龍東
J2001,聖公會慈光堂聖匠幼稚園,九龍藍田康栢苑停車場大廈7樓,J20,九龍東
J2101,保良局方王錦全幼稚園,九龍油塘高超道23號高俊苑俊滿閣地下,J21,九龍東
J2201,中華基督教會基法小學(油塘),九龍油塘油塘道25號,J22,九龍東
J2301,油塘社區會堂,九龍油塘高超道38號,J23,九龍東
J2302,福建中學附屬學校,九龍油塘邨第2期,J23,九龍東
J2401,天主教普照中學,九龍油塘普照路1號,J24,九龍東
J2402,鯉魚門體育館,九龍油塘鯉魚門徑6號鯉魚門市政大廈4樓,J24,九龍東
J2501,茜草灣鄰里社區中心,九龍油塘茶果嶺道81號,J25,九龍東
J2601,藍田(西區)社區中心,九龍藍田啟田道71號,J26,九龍東
J2701,天主教佑華小學,九龍觀塘翠屏邨第4期屋邨小學,J27,九龍東
J2801,觀塘瑪利諾書院,九龍觀塘翠屏道100號,J28,九龍東
J2901,地利亞修女紀念學校(月華),九龍觀塘月華街19號,J29,九龍東
J3001,瑞和街體育館,九龍觀塘瑞和街9號瑞和街市政大廈8樓,J30,九龍東
J3002,曉光街體育館,九龍觀塘曉光街2號,J30,九龍東
J3101,觀塘功樂官立中學,九龍觀塘功樂道90號,J31,九龍東
J3201,聖公會基顯小學,九龍觀塘牛頭角上邨安善道,J32,九龍東
J3301,循道衛理觀塘社會服務處牛頭角青少年綜合服務中心,九龍觀塘牛頭角道189號牛頭角上邨中央廣場,J33,九龍東
J3401,振華道體育館,九龍牛頭角振華道50號樂雅苑停車場頂樓,J34,九龍東
J3402,保良局顧卞裘莉長者日間護理中心,九龍觀塘牛頭角下邨貴月樓及貴顯樓地下,J34,九龍東
J3501,彩頤居禮堂,九龍牛頭角彩霞道55號彩頤居地下,J35,九龍東
J3601,聖公會基樂小學,九龍牛頭角樂華邨1期,J36,九龍東
J3701,樂華社區中心,九龍牛頭角樂華南邨振華道80號,J37,九龍東
K0101,雅麗珊社區中心,新界荃灣大河道60號,K01,新界西
K0201,荃灣天主教小學,新界荃灣德華街37-41號,K02,新界西
K0301,天主教石鐘山紀念小學,新界荃灣海濱花園永順街39號,K03,新界西
K0401,寶安商會王少清中學,新界荃灣大壩街2號,K04,新界西
K0501,荃灣官立中學,新界荃灣海壩街70號,K05,新界西
K0601,荃景圍體育館,新界荃灣美環街38號,K06,新界西
K0701,柴灣角天主教小學,新界荃灣安賢街2-10號,K07,新界西
K0801,中華基督教會基慧小學,新界荃灣荃景圍167-185號,K08,新界西
K0802,川龍村公所,新界荃灣荃錦公路川龍村24號C,K08,新界西
K0901,荃灣官立小學,新界荃灣麗城花園青山公路600號,K09,新界西
K1001,深井天主教小學,新界荃灣青山公路深井段37號,K10,新界西
K1101,香港浸信會聯會小學,新界荃灣麗順路2號麗城花園,K11,新界西
K1102,荃灣聖芳濟中學,新界荃灣咸田街60-64號,K11,新界西
K1201,澳仙納幼稚園舊址,新界荃灣青龍頭龍如路387地段,K12,新界西
K1202,豪景花園遊樂會,新界荃灣青山公路100號青龍頭豪景花園,K12,新界西
K1301,中華基督教會基慧小學(馬灣),新界荃灣馬灣珀麗灣珀林路12號,K13,新界西
K1401,蕙荃體育館,新界荃灣廟崗街6號,K14,新界西
K1501,梨木樹社區會堂,新界荃灣梨木樹邨康樹樓地下梨木樹社區會堂,K15,新界西
K1502,河背村村公所,新界荃灣國瑞路河背村48號B,K15,新界西
K1601,梨木樹天主教小學,新界荃灣梨木樹邨第2校舍,K16,新界西
K1701,香港道教聯合會圓玄學院石圍角小學,新界荃灣石圍角邨第2小學校舍香港道教聯合會圓玄學院石圍角小學,K17,新界西
K1801,前荃灣信義學校,新界荃灣象山邨,K18,新界西
K1802,荃灣公立何傳耀紀念中學,新界荃灣石圍角邨屋邨中學第1號荃灣公立何傳耀紀念中學,K18,新界西
L0101,屯門市中心社區會堂,新界屯門時代廣場北翼L4層,L01,新界西
L0102,青山天主教小學,新界屯門鄉事會路2號,L01,新界西
L0201,保良局香港道教聯合會圓玄小學,新界屯門青山公路青海圍26號,L02,新界西
L0202,仁愛堂劉皇發夫人小學,新界屯門安定邨第6座校舍,L02,新界西
L0301,深培中學,新界屯門兆麟街18號,L03,新界西
L0302,青松侯寶垣中學,新界屯門恒富街21號,L03,新界西
